iter	Passed	Remaining
0	177	177144
1	367	183323
2	568	188891
3	715	178198
4	866	172469
5	1010	167328
6	1178	167232
7	1340	166212
8	1514	166769
9	1696	167927
10	1853	166637
11	1990	163916
12	2154	163593
13	2293	161556
14	2426	159372
15	2585	158996
16	2727	157714
17	2870	156628
18	3017	155797
19	3143	154021
20	3312	154445
21	3451	153415
22	3605	153166
23	3763	153040
24	3936	153519
25	4120	154362
26	4331	156078
27	4489	155835
28	4623	154812
29	4753	153712
30	4884	152687
31	5028	152113
32	5145	150765
33	5292	150376
34	5410	149172
35	5540	148371
36	5664	147420
37	5798	146799
38	5939	146361
39	6076	145832
40	6223	145578
41	6361	145102
42	6535	145457
43	6682	145199
44	6831	144981
45	6987	144916
46	7126	144499
47	7253	143868
48	7373	143104
49	7518	142860
50	7631	142004
51	7734	141012
52	7854	140351
53	7994	140056
54	8116	139463
55	8246	139014
56	8373	138523
57	8496	137991
58	8623	137542
59	8730	136784
60	8865	136476
61	9003	136207
62	9276	137963
63	9463	138399
64	9608	138215
65	9757	138077
66	9904	137924
67	10012	137232
68	10321	139262
69	10451	138849
70	10595	138638
71	10716	138126
72	10823	137447
73	10947	136989
74	11063	136447
75	11194	136100
76	11316	135647
77	11452	135369
78	11574	134938
79	11713	134708
80	11854	134496
81	11984	134165
82	12091	133587
83	12229	133360
84	12350	132946
85	12477	132604
86	12621	132449
87	12726	131889
88	12838	131411
89	12958	131020
90	13064	130505
91	13200	130282
92	13314	129856
93	13430	129445
94	13554	129127
95	13669	128721
96	13813	128597
97	13929	128204
98	14037	127756
99	14176	127586
100	14327	127525
101	14494	127607
102	14622	127344
103	14737	126969
104	14860	126667
105	14967	126238
106	15098	126009
107	15223	125733
108	15346	125447
109	15476	125214
110	15587	124843
111	15708	124543
112	15844	124369
113	15960	124047
114	16087	123800
115	16202	123473
116	16318	123152
117	16444	122914
118	16560	122604
119	16691	122407
120	16823	122216
121	16973	122153
122	17095	121894
123	17227	121706
124	17379	121655
125	17475	121219
126	17593	120935
127	17682	120465
128	17768	119973
129	17896	119766
130	18013	119493
131	18126	119192
132	18264	119063
133	18387	118834
134	18488	118466
135	18571	117983
136	18697	117779
137	18786	117345
138	18877	116932
139	18966	116510
140	19067	116160
141	19176	115870
142	19282	115560
143	19389	115262
144	19485	114897
145	19581	114540
146	19672	114153
147	19770	113814
148	19857	113415
149	19976	113199
150	20073	112865
151	20178	112574
152	20262	112172
153	20354	111819
154	20448	111476
155	20527	111056
156	20602	110623
157	20686	110241
158	20776	109895
159	20864	109538
160	20945	109150
161	21049	108887
162	21156	108636
163	21241	108280
164	21372	108156
165	21526	108153
166	21637	107926
167	21764	107784
168	21859	107485
169	21989	107360
170	22076	107025
171	22178	106767
172	22269	106457
173	22364	106166
174	22455	105861
175	22543	105546
176	22646	105298
177	22771	105157
178	22891	104993
179	22995	104755
180	23108	104561
181	23241	104459
182	23363	104304
183	23475	104107
184	23602	103979
185	23741	103902
186	23845	103668
187	23988	103610
188	24139	103581
189	24277	103498
190	24406	103378
191	24496	103088
192	24593	102833
193	24678	102528
194	24776	102280
195	24866	102003
196	24956	101726
197	25046	101451
198	25149	101228
199	25280	101121
200	25381	100895
201	25493	100711
202	25588	100463
203	25679	100200
204	25775	99959
205	25870	99712
206	25964	99468
207	26097	99371
208	26193	99132
209	26290	98904
210	26405	98738
211	26501	98505
212	26626	98381
213	26719	98139
214	26813	97899
215	26907	97663
216	26993	97401
217	27087	97168
218	27185	96948
219	27271	96689
220	27372	96486
221	27488	96332
222	27589	96129
223	27689	95924
224	27782	95695
225	27890	95518
226	27985	95297
227	28071	95048
228	28287	95238
229	28428	95174
230	28533	94987
231	28626	94761
232	28730	94575
233	28845	94426
234	28973	94318
235	29081	94146
236	29190	93975
237	29283	93754
238	29397	93603
239	29488	93381
240	29574	93140
241	29667	92926
242	29767	92732
243	29849	92483
244	29931	92237
245	30028	92037
246	30125	91840
247	30214	91617
248	30318	91441
249	30418	91256
250	30523	91083
251	30641	90950
252	30757	90813
253	30854	90620
254	30973	90491
255	31082	90334
256	31194	90185
257	31316	90065
258	31429	89919
259	31527	89732
260	31625	89544
261	31739	89402
262	31829	89195
263	31916	88980
264	32007	88775
265	32105	88592
266	32185	88360
267	32279	88166
268	32368	87960
269	32484	87827
270	32599	87693
271	32737	87619
272	32870	87533
273	33012	87471
274	33161	87425
275	33274	87285
276	33386	87141
277	33515	87043
278	33617	86875
279	33733	86743
280	33850	86613
281	33969	86489
282	34118	86442
283	34209	86246
284	34304	86061
285	34398	85875
286	34513	85742
287	34609	85561
288	34692	85350
289	34796	85190
290	34890	85007
291	34983	84823
292	35086	84662
293	35168	84451
294	35247	84236
295	35369	84121
296	35483	83989
297	35601	83865
298	35721	83747
299	35809	83554
300	35916	83406
301	35999	83203
302	36153	83165
303	36272	83044
304	36374	82886
305	36480	82736
306	36577	82566
307	36686	82424
308	36805	82306
309	36901	82136
310	37006	81985
311	37119	81854
312	37208	81668
313	37338	81572
314	37480	81505
315	37717	81642
316	37867	81588
317	37962	81415
318	38060	81252
319	38148	81066
320	38241	80889
321	38333	80715
322	38423	80534
323	38519	80368
324	38627	80227
325	38741	80098
326	38851	79959
327	38946	79793
328	39071	79686
329	39170	79527
330	39266	79363
331	39345	79164
332	39430	78980
333	39522	78808
334	39624	78657
335	39717	78489
336	39807	78315
337	39902	78151
338	39983	77961
339	40077	77797
